,City,Country,Max Temp,Lat,Lng,Hotel Name
96,Khatanga,RU,-24.32,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
97,Rawson,AR,52.56,-43.3,-65.1,Hosteria Sampedro
98,Kapaa,US,78.8,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
99,Palmer,US,35.6,42.16,-72.33,Wedgewood Motel
101,Hokitika,NZ,61.66,-42.72,170.97,Beachfront Hotel Hokitika
102,Gizo,SB,84.88,-8.1,156.84,Imagination Island
103,Comodoro Rivadavia,AR,53.6,-45.87,-67.5,Hotel del Mar
104,Cidreira,BR,69.04,-30.18,-50.21,Hotel Castelo
105,Chifeng,CN,3.97,42.27,118.96,Junyu Tiancheng Hotel
106,Chuy,UY,62.89,-33.7,-53.46,Nuevo Hotel Plaza
107,Caravelas,BR,73.24,-17.71,-39.25,Pousada dos Navegantes
108,Eyl,SO,72.88,7.98,49.82,DAAWAD HOTEL EYL
109,Norman Wells,CA,-40.0,65.28,-126.83,Heritage Hotel
110,Tuktoyaktuk,CA,-13.5,69.45,-133.04,End of The Road Ltd.
111,Balkhash,KZ,-7.6,46.84,74.98,Family
112,Ihosy,MG,66.63,-22.4,46.12,Hotely Sariaka
114,Cherskiy,RU,-19.21,68.75,161.3,Gostinitsa
115,Ribeira Grande,PT,63.0,38.52,-28.7,Quinta da Meia Eira
116,Tongren,CN,32.97,27.72,109.19,Fanjing Mountain International Conference Center
118,Yulara,AU,96.8,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
119,Butaritari,KI,81.75,3.07,172.79,Isles Sunset Lodge
120,Dingle,PH,84.4,11.0,122.67,SEGAYA PROPERTY
121,Katobu,ID,84.29,-4.94,122.53,La Ode Husein
122,Ketchikan,US,42.8,55.34,-131.65,Snows Cove Lodge
123,Jiayuguan,CN,16.84,39.82,98.3,Jiugang Hotel - Jiayuguan
124,Riyadh,SA,48.2,24.69,46.72,InterContinental Riyadh
126,Linjiang,CN,5.77,41.81,126.91,Mingmen Business Hotel
127,Nome,US,15.8,64.5,-165.41,Dredge 7 Inn
128,Samarai,PG,83.75,-10.62,150.67,Nuli Sapi
131,Jiangyou,CN,43.25,31.77,104.72,Shangping Shuyuan Inn
132,Grindavik,IS,41.0,63.84,-22.43,Northern Light Inn & Max's Restaurant
133,Georgetown,MY,84.2,5.41,100.34,Cititel Penang
134,Takoradi,GH,77.85,4.88,-1.76,Raybow International Hotel
135,Wuwei,CN,21.04,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
136,Sitka,US,42.8,57.05,-135.33,Westmark Sitka
138,Fort Nelson,CA,-4.0,58.81,-122.7,The Fort Nelson Hotel
139,Port Elizabeth,ZA,63.0,-33.92,25.57,39 On Nile Guest House
140,Walvis Bay,,61.0,-22.96,14.51,Oyster Box Guesthouse
141,Iqaluit,CA,15.8,63.75,-68.51,Frobisher Inn
142,Luderitz,,64.4,-26.65,15.16,LÜDERITZ NEST HOTEL
